product_id,quantity,price,date,customer_id
145,4,25.92,2023/9/22 14:34,1140
991,3,8.97,2024/4/13 17:45,1085
307,5,17.3,2024/7/26 0:38,1314
45,4,21.6,2024/4/8 8:48,980
914,7,14.7,2023/9/18 13:52,624
670,10,42.8,2023/8/18 22:50,954
809,10,207.7,2024/2/4 9:06,571
522,3,25.83,2023/9/17 16:55,1763
709,4,10.88,2024/1/19 20:12,1050
692,7,25.41,2024/7/3 20:00,694
776,6,32.04,2024/4/17 19:40,1742
56,7,22.54,2024/5/2 4:43,1498
416,9,30.51,2023/10/13 1:13,917
451,5,12.05,2024/7/30 2:40,1600
419,5,15.75,2023/9/27 2:19,1490
597,3,12.42,2023/12/20 4:39,90
622,2,13.6,2023/12/23 0:02,451
904,1,6.3,2024/6/1 7:21,512
313,4,15.28,2024/4/26 7:37,84
366,8,187.68,2024/1/26 18:25,969
305,9,30.96,2024/3/29 8:49,70
956,1,3.45,2024/4/16 7:54,307
998,10,83.1,2024/7/23 22:19,1514
290,6,22.5,2023/9/1 19:28,1598
232,1,2.53,2024/2/6 8:04,599
242,9,31.32,2024/6/28 20:26,247
516,5,59.15,2023/8/15 19:30,133
878,9,69.66,2024/6/4 8:58,269
128,4,24.04,2024/3/25 11:39,1315
516,6,70.98,2024/7/23 8:54,1218
870,5,13.8,2024/6/4 21:14,583
90,2,8.6,2024/7/31 16:37,1850
832,5,15.45,2024/3/23 2:10,729
489,4,17.92,2023/11/1 9:33,372
892,2,5.74,2024/6/12 17:52,116
210,3,8.37,2023/10/9 15:31,1100
204,8,33.6,2024/4/29 15:40,1028
70,8,138.48,2024/6/28 7:21,1284
838,4,19.04,2023/11/12 1:07,592
135,4,20.4,2024/6/21 20:27,799
288,2,33.38,2023/10/23 7:42,64
582,5,33.7,2024/5/8 1:31,1071
300,6,18.42,2023/8/28 1:11,1810
106,10,82.5,2024/5/25 11:42,1863
770,10,57.7,2024/5/3 0:34,721
888,7,21.42,2023/11/24 18:48,1167
377,6,30.78,2023/11/10 15:10,1280
823,10,60.9,2023/12/19 17:05,1508
937,4,24.52,2024/3/29 13:30,1175
978,6,70.5,2023/8/22 3:23,1033
348,5,15.95,2023/10/27 5:42,1576
997,6,27.18,2024/7/14 12:23,1699
195,10,35.8,2023/9/4 20:08,531
320,5,25.25,2024/5/1 8:02,1476
221,2,5.8,2023/10/23 21:00,222
673,9,54.81,2024/5/20 7:00,191
716,8,33.6,2024/1/19 3:57,705
837,6,62.7,2024/1/12 7:08,1929
512,1,9.17,2023/9/17 0:13,770
201,10,41.4,2023/9/29 18:23,576
933,4,24.32,2023/11/9 9:19,1178
856,4,18.04,2023/9/19 6:26,1726
428,2,10.8,2023/8/8 23:23,43
193,7,169.82,2023/12/9 11:00,551
170,3,10.65,2023/9/8 14:08,734
535,1,4.92,2024/1/7 9:54,518
751,7,69.37,2023/11/24 21:04,1453
385,4,15,2023/10/9 17:20,275
25,7,142.59,2023/10/1 11:37,1305
457,9,41.04,2023/12/21 22:19,1627
571,1,2.51,2024/5/22 2:17,712
280,7,93.45,2024/5/27 8:39,261
175,1,3.9,2024/4/27 10:11,1579
345,5,30.45,2024/7/21 9:24,529
3,10,18.6,2024/6/30 2:31,1514
254,6,48.12,2024/2/28 6:13,1325
790,7,43.82,2024/4/14 23:35,116
741,1,4.79,2024/2/21 20:35,876
757,7,23.52,2023/11/28 4:01,1061
784,1,5.65,2024/1/26 8:22,408
400,9,15.75,2023/12/24 5:27,1986
216,6,45.66,2023/10/22 19:28,1912
825,3,18.45,2023/8/8 17:39,57
373,1,11.96,2023/8/24 11:13,186
508,1,4.89,2024/1/6 21:49,943
558,4,12.84,2024/2/27 2:32,1153
533,6,202.92,2024/1/18 4:24,503
891,7,19.53,2024/3/22 8:37,1667
40,5,32.3,2023/10/12 1:45,1943
714,1,5.69,2023/12/17 21:25,610
676,10,87.8,2023/11/16 21:29,1502
403,10,122.2,2024/5/1 14:25,1137
750,8,27.52,2024/7/3 23:56,2000
402,6,27,2024/1/8 2:03,29
64,4,5.6,2023/10/2 22:15,1875
502,9,60.48,2024/3/31 21:54,803
649,1,4.43,2023/12/15 8:20,1047
809,1,20.77,2024/7/23 14:54,1894
188,5,7.6,2023/11/2 19:49,1814
892,9,25.83,2023/10/30 22:12,1957
392,8,165.2,2023/12/26 0:10,451
709,2,5.44,2023/8/14 2:43,1646
820,5,28,2023/11/16 16:05,33
180,10,84.7,2024/4/19 23:50,1444
684,8,23.6,2024/1/6 4:11,1333
